time,vSI,vs
6.3490000000000002,4.99937287911985138e+1,8.85929172113912068e-3
6.35000000000000053,4.99939683217418462e+1,8.84276844271932906e-3
6.35099999999999998,4.99942079471470961e+1,8.82578002335242771e-3
6.35200000000000031,4.99944476543171419e+1,8.80832771213229532e-3
6.35299999999999976,4.99946874301627346e+1,8.79041278441075255e-3
6.35400000000000009,4.99949272616032587e+1,8.77203654171820543e-3
6.35500000000000043,4.99951671355674847e+1,8.75320031168400937e-3
6.35599999999999987,4.99954070389943084e+1,8.73390544795562586e-3
6.35700000000000021,4.99956469588334471e+1,8.71415333011458203e-3
6.35800000000000054,4.99958868820462854e+1,8.69394536358812642e-3
6.35899999999999999,4.99961267956065285e+1,8.67328297956473926e-3
6.36000000000000032,4.99963666865009628e+1,8.65216763490296928e-3
6.36099999999999977,4.99966065417302232e+1,8.6306008120390805e-3
6.3620000000000001,4.99968463483095107e+1,8.608584018894418e-3
6.36300000000000043,4.99970860932693242e+1,8.58611878877965813e-3
6.36399999999999988,4.99973257636561996e+1,8.56320668029824164e-3
6.36500000000000021,4.99975653465334346e+1,8.53984927724582739e-3
6.36600000000000055,4.99978048289818489e+1,8.51604818850914581e-3
6.36699999999999999,4.99980441981004304e+1,8.49180504796489752e-3
6.36800000000000033,4.9998283441007203e+1,8.4671215143706062e-3
6.36899999999999977,4.99985225448398083e+1,8.44199927126232375e-3
6.37000000000000011,4.99987614967563303e+1,8.41644002684333037e-3
6.37100000000000044,4.99990002839359562e+1,8.39044551387527725e-3
6.37199999999999989,4.99992388935797152e+1,8.36401748956445458e-3
6.37300000000000022,4.99994773129112033e+1,8.33715773544835628e-3
6.37400000000000055,4.99997155291772728e+1,8.30986805727919851e-3
6.375,4.99999535296487849e+1,8.28215028490559592e-3
6.37600000000000033,5.00001913016212995e+1,8.25400627215432114e-3
6.37699999999999978,5.00004288324157642e+1,8.22543789670868684e-3
6.37800000000000011,5.00006661093792317e+1,8.19644705998460489e-3
6.37900000000000045,5.0000903119885578e+1,8.16703568700486576e-3
6.37999999999999989,5.00011398513361982e+1,8.13720572627319588e-3
6.38100000000000023,5.00013762911607245e+1,8.10695914964639289e-3
6.38200000000000056,5.00016124268176654e+1,8.07629795220531944e-3
6.38300000000000001,5.00018482457951094e+1,8.0452241521203182e-3
6.38400000000000034,5.00020837356114924e+1,8.01373979051716971e-3
6.38499999999999979,5.00023188838161801e+1,7.98184693134418831e-3
6.38600000000000012,5.00025536779902495e+1,7.94954766123302098e-3
6.38700000000000045,5.00027881057470722e+1,7.91684408936151919e-3
6.3879999999999999,5.00030221547331593e+1,7.88373834731129208e-3
6.38900000000000023,5.00032558126285878e+1,7.85023258893000238e-3
6.39000000000000057,5.00034890671478749e+1,7.81632899018177424e-3
6.39100000000000001,5.00037219060406244e+1,7.78202974900401613e-3
6.39200000000000035,5.00039543170921021e+1,7.74733708516233723e-3
6.39299999999999979,5.00041862881239894e+1,7.71225324009982248e-3
6.39400000000000013,5.00044178069949794e+1,7.67678047678676395e-3
6.39500000000000046,5.00046488616015665e+1,7.64092107956901127e-3
6.39599999999999991,5.00048794398784793e+1,7.60467735401778276e-3
6.39700000000000024,5.00051095297995616e+1,7.56805162676954871e-3
6.39800000000000058,5.00053391193782986e+1,7.53104624537336009e-3
6.39900000000000002,5.00055681966684276e+1,7.49366357813294019e-3
6.40000000000000036,5.00057967497647056e+1,7.45590601394241319e-3
6.4009999999999998,5.00060247668034776e+1,7.41777596213065611e-3
6.40200000000000014,5.00062522359633093e+1,7.37927585229705175e-3
6.40300000000000047,5.00064791454656188e+1,7.34040813414753128e-3
6.40399999999999991,5.00067054835753098e+1,7.30117527732842067e-3
6.40500000000000025,5.00069312386014388e+1,7.26157977125855766e-3
6.40599999999999969,5.00071563988977985e+1,7.22162412496428138e-3
